MD,M,1964,Linwood,11
NC,F,1983,Jewel,9
WA,F,1990,Eileen,7
CA,M,1994,Emmet,10
WY,M,1997,Jesse,16
MD,M,1931,Wesley,9
TX,F,1980,Kandra,8
GA,F,1970,Valecia,5
MO,M,2009,Devon,25
IL,F,1926,Loretta,294
KY,M,1987,Jamie,35
SC,F,2008,Carolyn,9
KY,F,1912,Dorothy,209
CA,F,1978,Rasheda,8
WA,F,1989,Brittny,8
CA,F,2008,Zoey,305
FL,F,2016,Kalia,12
OH,F,1961,Nita,14
CA,F,1984,Katelynn,11
OH,M,1930,Jack,953
KS,M,1984,Howard,7
MA,F,1959,Elisa,9
TN,M,2013,Ian,78
PA,M,2014,Nasir,40
LA,M,2013,Emmanuel,21
IA,F,1957,Sindy,5
HI,M,1952,Scott,22
LA,M,1969,Alan,49
DE,F,1965,Darlene,15
PA,M,1969,Jorge,15
OK,F,1973,Ashley,32
DE,M,1992,Keith,20
SC,M,1946,Dannie,6
WI,F,1974,Sheryl,7
CA,F,1918,Ora,10
OH,F,1923,Leota,17
IA,M,1977,Billy,28
OK,F,1929,Julia,38
CO,F,2008,Ana,28
SC,M,1919,Junior,33
CT,M,1982,Cameron,10
FL,M,2001,Easton,9
FL,M,2014,Masiah,9
OH,F,1948,Ronda,18
LA,F,2018,Daleyza,5
MS,F,1931,Lorraine,8
MI,F,1994,Alysha,13
MS,F,1989,Amber,226
ID,F,1931,Cleo,6
MN,F,1975,Tracie,14
KS,M,2004,Jameson,6
PA,F,2015,Bridget,28
UT,M,2006,Treyson,15
IN,F,1928,Cecilia,8
AL,M,1929,Nolan,6
CA,M,1999,Kush,7
OR,M,1994,Octavio,6
MN,F,2006,Julie,15
OH,M,1951,Elbert,9
WA,F,2000,Vanessa,106
NC,M,1936,Stanley,35
LA,F,1990,Claudia,10
WV,F,1935,Katherine,39
CA,M,1965,Jess,53
PA,F,1978,Jillian,100
WA,M,1955,Dane,5
ID,M,2002,Seth,25
MO,F,2004,Remington,8
MA,F,1953,Rosemarie,36
CA,M,2008,Bilal,19
TX,F,1992,Kimberlyn,7
VA,F,2006,Soraya,5
MD,F,1992,Elana,6
MO,M,1961,Gregg,46
CA,M,2001,Kerry,6
NJ,F,1999,Chloe,97
NY,M,1982,Boris,6
SD,M,1997,Jeremy,12
KY,M,2010,Daniel,149
CT,F,2012,Carly,12
CO,F,1959,Linda,410
WV,F,1959,Teena,6
PA,F,2017,Teigen,5
TN,M,1990,Zachary,426
PA,F,1910,Concetta,15
NY,F,1961,Millie,15
CA,F,1995,Gabrielle,446
TX,F,1991,Lee,9
PA,F,1984,Kellyann,8
FL,F,2017,Diane,8
WA,F,1920,Arleen,5
MI,M,1965,Mitch,5
VT,M,1966,Guy,7
AZ,F,1978,Darlene,11
FL,M,1998,Broderick,6
NY,M,1979,Pascal,7
VA,F,1920,Alyce,7
SC,M,1985,Colin,8
NE,F,1966,Janet,44
UT,M,1983,Jesus,6
NY,F,1996,Hanna,49
IN,F,1996,Hope,58
TN,F,2012,Jana,7
NY,F,2009,Elif,7
MN,F,1929,Teresa,20
LA,F,2005,Caitlyn,25
NV,F,2018,Angelica,12
LA,F,1992,Kali,11
VA,F,1958,Darlene,238
AZ,M,2000,Lorenzo,35
KY,M,1969,Frederick,20
KY,M,1938,Matt,9
MO,M,1934,Eddie,75
CA,M,1947,Grover,11
AR,F,1978,Mindy,20
CA,F,1985,Young,6
GA,F,1921,Sarah,449
CA,F,1951,Hopie,5
TX,M,1936,Eddie,184
TX,F,1920,Edwina,15
OH,M,2012,Ibrahim,25
KY,F,1998,Hazel,6
RI,F,1970,Samantha,9
UT,M,1925,Clifford,25
OH,M,2005,Hudson,34
WA,M,1992,Jay,19
AR,F,2015,Reese,21
SC,F,1990,Dixie,5
FL,F,1930,Dorthy,7
KS,M,1918,Isaac,6
AZ,F,1968,Terry,20
CO,M,2004,Jackson,208
NM,F,2011,Jordan,9
IN,F,1968,Jeannie,18
NY,F,1984,Mary,463
GA,F,1993,Sydney,112
NY,F,2003,Kalia,5
ND,F,1928,Nancy,7
MD,M,1936,Francis,95
NC,M,1996,Keyshawn,12
AL,F,1987,Mallorie,6
CA,M,1988,Rebecca,8
IN,M,2014,Mohammed,8
UT,M,1922,Ross,18
KS,M,1973,Kyle,40
MI,M,1915,Horace,15
MN,F,2018,Yaretzi,7
CO,F,2003,Alena,7
NY,F,1989,Britny,5
SC,F,1987,Grace,16
WI,F,1922,Violet,144
MA,M,2008,Elijah,150
IA,F,1951,Diane,472
WI,F,1923,Ramona,9
LA,F,2018,Piper,47
AR,M,1974,Jack,14
CA,M,1986,Roman,93
AR,M,2005,Pablo,11
CO,F,2010,Penny,9
TN,F,1964,Willa,5
TN,F,1941,Rubye,7
FL,M,1980,Raymond,172
NY,F,1918,Rebecca,82
MO,M,1999,Keegan,23
NJ,M,2012,Jasir,11
UT,M,2015,Edwin,11
FL,F,1980,Tequilla,6
SC,M,2010,Nathan,111
NY,F,1991,Raquel,105
MI,M,1943,Craig,53
OH,F,1964,Mildred,27
AL,F,1934,Mariah,7
MS,M,2005,Kyle,33
NC,F,1993,Victoria,382
MT,F,1995,Katherine,20
MT,M,1998,Nathan,32
MD,M,2009,Kamrin,6
CA,M,2017,Mccoy,12
MA,F,1993,Nancy,20
VA,M,1973,Dewayne,13
IN,M,2008,Angelo,10
UT,M,2004,Dyson,5
GA,M,1928,Sam,75
SC,M,2000,Nasir,11
TX,F,1956,Terri,385
OK,F,1952,Karon,8
