app_name,category,appstore_link_url,img_src_url
Uber Eats: Food Delivery,Food & Drink,https://apps.apple.com/gb/app/uber-eats-food-delivery/id1058959277?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/d46049a5de15e5b07c96c55f30270c446a3494916580b15da442070eee0cc3c6.jpg
The Real Juggle,Games,https://apps.apple.com/gb/app/the-real-juggle/id1454567241?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/05bff6ad381dc2b829539dff6ad16ed1f526a5cdc3134065df24e5f876f86751.jpg
Collect Cubes,Games,https://apps.apple.com/gb/app/collect-cubes/id1465222322?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/06e73c3f74b6750b0e1e0f235415d4882989c61251f38fb919e2d4c57d025dff.jpg
Sand Balls,Games,https://apps.apple.com/gb/app/sand-balls/id1474046667?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/417d8e3b70e792daaa3e001924d7847eb31e6deff7206eaf84f78e12025c29aa.jpg
WhatsApp Messenger,Social Networking,https://apps.apple.com/gb/app/whatsapp-messenger/id310633997?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/a7ba5486328040d3fe5ba501ff737eba4fad1482c03ffdd2b9aea2a0dc7fe5bd.jpg
Rope Rescue! - Unique Puzzle,Games,https://apps.apple.com/gb/app/rope-rescue-unique-puzzle/id1474676263?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/72e084299bb2b7f3804862ca6cace774919aab9be609e1889fa7edfcec06f173.jpg
Crazy Kick!,Games,https://apps.apple.com/gb/app/crazy-kick/id1469889140?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/98097ab750025b09809b5d7f400b15168086d0974e9f4d7289f8275a2fc46dc7.jpg
Granny: Chapter Two,Games,https://apps.apple.com/gb/app/granny-chapter-two/id1479175321?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/7a46fd301f865f90e4bf46ce1d0d98cd0201465ae034249d820a6c1108a35693.jpg
Instagram,Photo & Video,https://apps.apple.com/gb/app/instagram/id389801252?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/bc915da5a3d45d754ca35f6167e93670cd8cf83b6e035053e2d1f91d75bc8bbe.jpg
TikTok - Make Your Day,Entertainment,https://apps.apple.com/gb/app/tiktok-make-your-day/id835599320?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/780ea27e5d88d085b27f9801ec2b807cfb51e0f9c88d9e4b6513d5d0ba83b1e3.jpg
Netflix,Entertainment,https://apps.apple.com/gb/app/netflix/id363590051?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/0022fab2006302a924e6d8028ad6680de8820b011ad4cb312577e7032aa41ad0.jpg
Microsoft Outlook,Productivity,https://apps.apple.com/gb/app/microsoft-outlook/id951937596?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/d317c99e80b665d9617940b38cabe2d017a8fe28f05bc8fafd0cb5973c3bb6cd.jpg
Cool Goal!,Games,https://apps.apple.com/gb/app/cool-goal/id1471525758?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/44eda508c84bcf59f69e4d008b2f1d3b32cd1bd41121317b5f079de28966efba.jpg
Google Maps - Transit & Food,Navigation,https://apps.apple.com/gb/app/google-maps-transit-food/id585027354?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/ae32336e5df4a44bb0c95be74f7642247b0d459a783f1af70f71f3bc62381e42.jpg
Snapchat,Photo & Video,https://apps.apple.com/gb/app/snapchat/id447188370?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/fdb47d99930b1a7086c1a1fb81020b9530051345fdda9e66232de865925e6eef.jpg
Donald's Empire,Games,https://apps.apple.com/gb/app/donalds-empire/id1457326783?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/bd64a61499808a62e529fbcd999bbb14af3995c26367652a67a8b2e6660c041c.jpg
Messenger,Social Networking,https://apps.apple.com/gb/app/messenger/id454638411?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/e20c9a7e31b9dadb673ee180a097c6b4cf92a329ab40a0daa8160d6b5e127050.jpg
Facebook,Social Networking,https://apps.apple.com/gb/app/facebook/id284882215?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/544ea38d3271db5f6b54e2349a981fde80072a85e6dd5c0ce1563bf9a98a7f3e.jpg
Popcorn Burst,Games,https://apps.apple.com/gb/app/popcorn-burst/id1476745742?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/fc0c06723fdea18b11eb7698bff1ee31d16f93b48809d3bc33fc534e3f720fae.jpg
Spotify New Music and Podcasts,Music,https://apps.apple.com/gb/app/spotify-new-music-and-podcasts/id324684580?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/25910b4c3b81fec9c966f583f5dc317259681d7c5ab2b2e95bf577c15d1e6ea3.jpg
Dinosaur Rampage,Games,https://apps.apple.com/gb/app/dinosaur-rampage/id1467148530?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/025cf5461a1a1f848c5c87496cae69dd11350abc797465310974d0605c17a55b.jpg
Gmail - Email by Google,Productivity,https://apps.apple.com/gb/app/gmail-email-by-google/id422689480?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/07b7525e4269609e8b33f99b4f9373254951e68647136daa435be81aedb82eb0.jpg
Wish - Shopping Made Fun,Shopping,https://apps.apple.com/gb/app/wish-shopping-made-fun/id530621395?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/8f64f59a380ff1eb1a6f4002fbc088d5ff7ac38ade6b692ef638b544e2ea0f5d.jpg
Show My Homework,Education,https://apps.apple.com/gb/app/show-my-homework/id908071717?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/7dc38992f09c75d25c6af2d55e10ab0de58b0ef169abdf3b2825ccf1c2513963.jpg
BBC iPlayer,Entertainment,https://apps.apple.com/gb/app/bbc-iplayer/id416580485?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/1e48fddc94779564189b6ee7ae66f07955cb34fc7a626629e30c0a767e7be923.jpg
Uber,Travel,https://apps.apple.com/gb/app/uber/id368677368?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/e684761c3e092dc1b28c4f817c7ce1c0a4dcfbcc9b2f0511fd69533a0e154f0c.jpg
